"Volcano_Number","Volcano_Name","Eruption_Number","Activity_Type","ActivityArea","StartEvidenceMethod","StartDateYear","StartDateYearUncertainty","StartDateMonth","StartDateDay","GeoLocation","StartDateYearModifier","ActivityUnit","ExplosivityIndexMax","ExplosivityIndexModifier","EndDateYear","EndDateMonth","EndDateDay","EndDateDayModifier","StartDateDayModifier","EndDateYearUncertainty","StartDateDayUncertainty","EndDateDayUncertainty","EndDateYearModifier"
"210010","West Eifel Volcanic Field","10001","Confirmed Eruption","Ulmener Maar","Radiocarbon (corrected)","-8740","150","0","0","6.85,50.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210010","West Eifel Volcanic Field","10002","Confirmed Eruption","Strohn, Pulvermaar","Radiocarbon (uncorrected)","-8300","300","0","0","6.85,50.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210020","Chaine des Puys","10003","Confirmed Eruption","Western Puy de Dôme","Radiocarbon (uncorrected)","-7840","200","0","0","2.97,45.775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210020","Chaine des Puys","10004","Confirmed Eruption","Puy Mey","Thermoluminescence","-7740",NA,"0","0","2.97,45.775","?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210020","Chaine des Puys","10005","Confirmed Eruption",NA,"Radiocarbon (uncorrected)","-7020","100","0","0","2.97,45.775",NA,"Taphanel tephra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210020","Chaine des Puys","10006","Confirmed Eruption","Puys Chopine, Vasset, Cratère Kilian","Radiocarbon (uncorrected)","-6550",NA,"0","0","2.97,45.775","?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210020","Chaine des Puys","10007","Confirmed Eruption","Puy de Pariou","Thermoluminescence","-6250",NA,"0","0","2.97,45.775","?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210020","Chaine des Puys","10009","Confirmed Eruption","Puy de Lassolas, Puy de la Vache","Radiocarbon (uncorrected)","-6020","150","0","0","2.97,45.775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210020","Chaine des Puys","10010","Confirmed Eruption","Puy de Come, Puy Montchier","Thermoluminescence","-5760",NA,"0","0","2.97,45.775","?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210020","Chaine des Puys","10011","Confirmed Eruption","Montcineyre, Estivadoux, Pavin","Radiocarbon (uncorrected)","-4040","150","0","0","2.97,45.775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210040","Calatrava Volcanic Field","10012","Confirmed Eruption","Columba","Radiocarbon (corrected)","-3600","500","0","0","-4.02,38.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211003","Vulsini","10014","Confirmed Eruption",NA,"Historical Observations","-104",NA,"0","0","11.93,42.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211004","Colli Albani","10015","Uncertain Eruption","Ariccia crater",NA,"-600",NA,"0","0","12.7,41.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10018","Confirmed Eruption",NA,"Radiocarbon (corrected)","-8480","100","0","0","14.139,40.827",NA,"Agnano Pomici Principali tephra","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10019","Confirmed Eruption","Soccavo, Minapoli, Pisani & other vents","Tephrochronology","-7980","500","0","0","14.139,40.827",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10020","Confirmed Eruption","NE part of NYT caldera","Radiocarbon (uncorrected)","-7590","50","0","0","14.139,40.827",NA,"Pisani 3 tephra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10021","Confirmed Eruption","Fondi di Baia, Sartania","Radiocarbon (uncorrected)","-6650","100","0","0","14.139,40.827",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10022","Confirmed Eruption","Eastern part of NYT caldera","Tephrochronology","-6490",NA,"0","0","14.139,40.827","?",NA,"3","?",NA,NA,NA,NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10023","Confirmed Eruption","N part of NYT caldera (San Martino)","Radiocarbon (uncorrected)","-6300","50","0","0","14.139,40.827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10040","Confirmed Eruption","Solfatara","Historical Observations","1198",NA,"0","0","14.139,40.827",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10041","Confirmed Eruption","Monte Nuovo","Historical Observations","1538",NA,"9","29","14.139,40.827",NA,NA,"3",NA,"1538","10","6",NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10033","Confirmed Eruption","Agnano Monte Spina","Radiocarbon (uncorrected)","-2150","500","0","0","14.139,40.827",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10034","Confirmed Eruption","Monte Olibano-Accademia","Tephrochronology","-2080","75","0","0","14.139,40.827",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10035","Confirmed Eruption","Solfatara","Tephrochronology","-2040",NA,"0","0","14.139,40.827","?",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10036","Confirmed Eruption","Averno","Tephrochronology","-2000","150","0","0","14.139,40.827",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10037","Confirmed Eruption","Astroni","Radiocarbon (uncorrected)","-1870","50","0","0","14.139,40.827",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211010","Campi Flegrei","10038","Confirmed Eruption","Fossa Lupara (Monte Senga)","Tephrochronology","-1650",NA,"0","0","14.139,40.827","?",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
